iter	Logloss
0	0.6750476107
1	0.6619009996
2	0.6523221389
3	0.6414264307
4	0.6335234885
5	0.6268762174
6	0.6207354892
7	0.6145273843
8	0.6099549274
9	0.6059075795
10	0.6025873321
11	0.5972911189
12	0.5936018669
13	0.5909257238
14	0.5864082843
15	0.5830767474
16	0.5797622129
17	0.5760366262
18	0.5722648604
19	0.5697122219
20	0.567444843
21	0.5654341985
22	0.5635699906
23	0.5608760069
24	0.5585035549
25	0.5570218127
26	0.5545641512
27	0.5526281408
28	0.5502291107
29	0.5486816726
30	0.5468266837
31	0.5449523244
32	0.5419160556
33	0.5404297918
34	0.5389281505
35	0.5369642394
36	0.5351946608
37	0.5332112029
38	0.5314675131
39	0.5295952852
40	0.527938859
41	0.5266902351
42	0.5250098129
43	0.5233245419
44	0.521637939
45	0.5192619367
46	0.5178929497
47	0.5161369435
48	0.5141386427
49	0.5110681779
50	0.5095377887
51	0.5077356146
52	0.5056498503
53	0.5038514503
54	0.5017300326
55	0.5001075776
56	0.4979950008
57	0.4957260318
58	0.4938423715
59	0.4918613542
60	0.4900759406
61	0.4879736202
62	0.4856761017
63	0.4839663814
64	0.4821473594
65	0.4804037023
66	0.478968976
67	0.4773713646
68	0.4757817333
69	0.4742076436
70	0.4726337304
71	0.4711591872
72	0.4694935039
73	0.4680757417
74	0.4664686445
75	0.4648901666
76	0.4636598097
77	0.4619530854
78	0.4603992729
79	0.4587015161
80	0.4575007767
81	0.4564217791
82	0.454744415
83	0.4533497138
84	0.452033545
85	0.4511629982
86	0.450406735
87	0.4486415166
88	0.4472701147
89	0.4459661928
90	0.444612624
91	0.4435935692
92	0.4423354629
93	0.4409334357
94	0.4397914736
95	0.438756415
96	0.4377528228
97	0.4365085181
98	0.4352148162
99	0.4343267346
