iter	Passed	Remaining
0	256	25399
1	332	16285
2	411	13290
3	477	11460
4	554	10538
5	613	9614
6	669	8900
7	726	8353
8	779	7876
9	832	7494
10	888	7192
11	946	6939
12	1010	6761
13	1069	6568
14	1128	6394
15	1189	6245
16	1245	6082
17	1310	5967
18	1373	5854
19	1428	5714
20	1482	5578
21	1542	5469
22	1598	5350
23	1660	5257
24	1720	5161
25	1780	5067
26	1849	5000
27	1907	4906
28	1968	4818
29	2027	4731
30	2083	4637
31	2137	4542
32	2203	4474
33	2263	4393
34	2323	4314
35	2380	4232
36	2441	4157
37	2509	4094
38	2579	4033
39	2638	3957
40	2691	3873
41	2745	3790
42	2797	3708
43	2851	3628
44	2907	3553
45	2970	3486
46	3039	3427
47	3105	3364
48	3163	3292
49	3217	3217
50	3273	3144
51	3329	3073
52	3394	3009
53	3457	2944
54	3517	2878
55	3584	2816
56	3650	2753
57	3702	2681
58	3759	2612
59	3822	2548
60	3893	2489
61	3956	2424
62	4022	2362
63	4100	2306
64	4171	2246
65	4236	2182
66	4331	2133
67	4418	2079
68	4418	2079
69	4484	1949
70	4627	1917
71	4757	1876
72	4800	1800
73	4839	1723
74	4890	1652
75	4985	1595
76	5071	1534
77	5501	1571
78	5682	1529
79	5804	1469
80	5942	1411
81	6067	1348
82	6164	1278
83	6260	1206
84	6336	1131
85	6405	1055
86	6464	977
87	6570	906
88	6648	831
89	6731	756
90	6797	679
91	6865	603
92	6950	528
93	7015	452
94	7080	376
95	7181	302
96	7232	226
97	7283	150
98	7361	75
99	7415	0
